,State,District,Name,Party,Status,Religion
142,GA,11,Barry Loudermilk,R,Continuing,Baptist
143,GA,12,Rick W. Allen,R,Continuing,Methodist
144,GA,13,David Scott,D,Continuing,Baptist
145,GA,14,Marjorie Taylor Greene,R,Freshman,Protestant unspecified
146,HI,1,Ed Case,D,Continuing,Protestant unspecified
147,HI,2,Kai Kahele,D,Freshman,Don't know/refused
148,HI,Senator,Brian Schatz,D,Continuing,Jewish
149,HI,Senator,Mazie K. Hirono,D,Continuing,Buddhist
150,IA,1,Ashley Hinson,R,Freshman,Nondenominational
151,IA,2,Mariannette Miller-Meeks,R,Freshman,Catholic
152,IA,3,Cindy Axne,D,Continuing,Catholic
153,IA,4,Randy Feenstra,R,Freshman,Protestant unspecified
154,IA,Senator,Charles E. Grassley,R,Continuing,Baptist
155,IA,Senator,Joni Ernst,R,Continuing,Lutheran
156,ID,1,Russ Fulcher,R,Continuing,Protestant unspecified
157,ID,2,Mike Simpson,R,Continuing,Mormon
158,ID,Senator,Jim Risch,R,Continuing,Catholic
159,ID,Senator,Michael D. Crapo,R,Continuing,Mormon
160,IL,1,Bobby L. Rush,D,Continuing,Protestant unspecified
161,IL,2,Robin Kelly,D,Continuing,Nondenominational
162,IL,3,Marie Newman,D,Freshman,Catholic
163,IL,4,"Jesus ""Chuy"" Garcia",D,Continuing,Catholic
164,IL,5,Mike Quigley,D,Continuing,Protestant unspecified
165,IL,6,Sean Casten,D,Continuing,Don't know/refused
166,IL,7,Danny K. Davis,D,Continuing,Baptist
167,IL,8,Raja Krishnamoorthi,D,Continuing,Hindu
168,IL,9,Jan Schakowsky,D,Continuing,Jewish
169,IL,10,Brad Schneider,D,Continuing,Jewish
170,IL,11,Bill Foster,D,Continuing,Don't know/refused
171,IL,12,Mike Bost,R,Continuing,Baptist
172,IL,13,Rodney Davis,R,Continuing,Catholic
173,IL,14,Lauren Underwood,D,Continuing,Protestant unspecified
174,IL,15,Mary Miller,R,Freshman,Protestant unspecified
175,IL,16,Adam Kinzinger,R,Continuing,Protestant unspecified
176,IL,17,Cheri Bustos,D,Continuing,Catholic
177,IL,18,Darin LaHood,R,Continuing,Catholic
178,IL,Senator,Richard J. Durbin,D,Continuing,Catholic
179,IL,Senator,Tammy Duckworth,D,Continuing,Don't know/refused
180,IN,1,Frank J. Mrvan,D,Freshman,Catholic
181,IN,2,Jackie Walorski,R,Continuing,Protestant unspecified
182,IN,3,Jim Banks,R,Continuing,Protestant unspecified
183,IN,4,Jim Baird,R,Continuing,Protestant unspecified
184,IN,5,Victoria Spartz,R,Freshman,Orthodox
185,IN,6,Greg Pence,R,Continuing,Catholic
186,IN,7,Andre Carson,D,Continuing,Muslim
187,IN,8,Larry Bucshon,R,Continuing,Lutheran
188,IN,9,Trey Hollingsworth,R,Continuing,Protestant unspecified
189,IN,Senator,Mike Braun,R,Continuing,Catholic
190,IN,Senator,Todd Young,R,Continuing,Protestant unspecified
191,KS,1,Tracey Mann,R,Freshman,Pietist
192,KS,2,Jake LaTurner,R,Freshman,Catholic
193,KS,3,Sharice Davids,D,Continuing,Don't know/refused
194,KS,4,Ron Estes,R,Continuing,Lutheran
195,KS,Senator,Jerry Moran,R,Continuing,Protestant unspecified
196,KS,Senator,Roger Marshall,R,Freshman,Nondenominational
197,KY,1,James R. Comer,R,Continuing,Baptist
198,KY,2,Brett Guthrie,R,Continuing,Restorationist
199,KY,3,John Yarmuth,D,Continuing,Jewish
200,KY,4,Thomas Massie,R,Continuing,Methodist
201,KY,5,Harold Rogers,R,Continuing,Baptist
202,KY,6,Andy Barr,R,Continuing,Episcopalian
203,KY,Senator,Mitch McConnell,R,Continuing,Baptist
204,KY,Senator,Rand Paul,R,Continuing,Presbyterian
205,LA,1,Steve Scalise,R,Continuing,Catholic
206,LA,2,Cedric L. Richmond,D,Continuing,Baptist
207,LA,3,Clay Higgins,R,Continuing,Protestant unspecified
