bio_id,speaker_name,chamber,state,gender,total_words,total_keywords,total_god_mentions,total_biblical_references
E000297,Mr. ESPAILLAT,House,NY,M,108322,10,10,0
S001209,Ms. SPANBERGER,House,VA,F,53544,3,2,0
S001210,Mr. SPANO,House,FL,M,32840,31,22,0
D000631,Ms. DEAN,House,PA,F,57651,13,17,1
M001187,Mr. MEADOWS,House,NC,M,92152,12,8,0
G000587,Ms. GARCIA of Texas,House,TX,F,75949,16,17,1
H001053,Mrs. HARTZLER,House,MO,F,142710,107,72,9
J000299,Mr. JOHNSON of Louisiana,House,LA,M,117214,134,99,2
S001212,Mr. STAUBER,House,MN,M,48390,11,12,0
B001295,Mr. BOST,House,IL,M,121212,27,16,3
R000591,Mrs. ROBY,House,AL,F,109487,16,13,1
B001291,Mr. BABIN,House,TX,M,161417,191,118,7
R000603,Mr. ROUZER,House,NC,M,46632,46,29,2
N000191,Mr. NEGUSE,House,CO,M,78108,1,1,0
P000618,Ms. PORTER,House,CA,F,49584,0,0,0
T000481,Ms. TLAIB,House,MI,F,145889,55,29,0
L000593,Mr. LEVIN of California,House,CA,M,55037,2,1,0
C001113,Ms. CORTEZ MASTO,Senate,NV,F,149248,12,6,0
S001203,Ms. SMITH,Senate,MN,F,79951,1,0,0
L000575,Mr. LANKFORD,Senate,OK,M,714403,246,162,7
S001184,Mr. SCOTT of South Carolina,Senate,SC,M,132489,63,42,0
W000802,Mr. WHITEHOUSE,Senate,RI,M,1814654,273,238,0
W000779,Mr. WYDEN,Senate,OR,M,2605775,20,18,0
S001198,Mr. SULLIVAN,Senate,AK,M,731776,46,34,0
E000285,Mr. ENZI,Senate,WY,M,2147882,289,223,3
D000618,Mr. DAINES,Senate,MT,M,330349,47,38,1
G000590,Mr. GREEN of Tennessee,House,TN,M,42686,22,15,0
D000623,Mr. DeSAULNIER,House,CA,M,143691,4,1,0
L000569,Mr. LUETKEMEYER,House,MO,M,188164,24,15,0
L000585,Mr. LaHOOD,House,IL,M,91061,33,18,0
J000302,Mr. JOYCE of Pennsylvania,House,PA,M,113340,30,23,1
C001119,Mrs. CRAIG,House,MN,F,32191,0,0,0
M001143,Ms. McCOLLUM,House,MN,F,722554,45,22,0
C000059,Mr. CALVERT,House,CA,M,469732,51,44,0
H000874,Mr. HOYER,House,MD,M,2869180,350,405,1
J000295,Mr. JOYCE of Ohio,House,OH,M,30569,2,2,0
S001192,Mr. STEWART,House,UT,M,57099,12,10,0
W000821,Mr. WESTERMAN,House,AR,M,173172,55,26,4
G000551,Mr. GRIJALVA,House,AZ,M,383461,23,14,0
C000984,Mr. CUMMINGS,House,MD,M,676689,139,122,2
P000197,Ms. PELOSI,House,CA,F,1830867,535,440,11
R000606,Mr. RASKIN,House,MD,M,317653,17,11,0
W000809,Mr. WOMACK,House,AR,M,71064,17,14,0
C001121,Mr. CROW,House,CO,M,50823,5,3,1
W000812,Mrs. WAGNER,House,MO,F,119997,21,7,1
M001179,Mr. MARINO,House,PA,M,74171,1,1,0
S001176,Mr. SCALISE,House,unknown,M,474820,53,42,0
H001090,Mr. HARDER of California,House,CA,M,11860,1,1,0
D000628,Mr. DUNN,House,FL,M,42237,19,7,0
C001049,Mr. CLAY,House,MO,M,191268,38,30,0
F000468,Mrs. FLETCHER,House,TX,F,22172,0,0,0
E000296,Mr. EVANS,House,PA,M,73727,16,4,2
S001215,Ms. STEVENS,House,MI,F,99724,12,6,0
K000362,Mr. KING of Iowa,House,IA,M,3005588,705,610,2
K000383,Mr. KING,Senate,ME,M,347733,42,25,0
B001230,Ms. BALDWIN,Senate,WI,F,432483,14,9,0
S001196,Ms. STEFANIK,House,NY,F,140172,9,8,0
K000386,Mr. KATKO,House,NY,M,155112,10,8,0
S001185,Ms. SEWELL of Alabama,House,AL,F,290139,98,54,0
F000467,Ms. FINKENAUER,House,IA,F,9106,1,1,0
R000616,Mr. ROUDA,House,CA,M,25995,1,1,0
S001195,Mr. SMITH of Missouri,House,MO,M,126715,34,11,0
S001172,Mr. SMITH of Nebraska,House,NE,M,135822,7,6,0
W000822,Mrs. WATSON COLEMAN,House,NJ,F,115940,12,10,0
R000515,Mr. RUSH,House,IL,M,335469,239,128,12
F000450,Ms. FOXX of North Carolina,House,NC,F,1147828,305,232,7
M001205,Mrs. MILLER,House,WV,F,23515,11,8,0
A000372,Mr. ALLEN,House,GA,M,98403,176,124,16
W000798,Mr. WALBERG,House,MI,M,211884,258,183,20
N000190,Mr. NORMAN,House,SC,M,91361,104,73,0
R000577,Mr. RYAN,House,OH,M,811815,151,134,2
T000470,Mr. TIPTON,House,CO,M,153780,14,7,0
C001109,Ms. CHENEY,House,WY,F,89688,9,10,0
B001307,Mr. BAIRD,House,IN,M,19185,3,3,0
G000563,Mr. GIBBS,House,OH,M,83269,1,3,0
G000592,Mr. GOLDEN,House,ME,M,14622,0,0,0
W000800,Mr. WELCH,House,VT,M,320909,3,4,0
R000486,Ms. ROYBAL-ALLARD,House,CA,F,366809,25,24,0
M001185,Mr. SEAN PATRICK MALONEY of New York,House,NY,M,36836,1,1,0
T000482,Mrs. TRAHAN,House,MA,F,30422,5,3,0
B001296,Mr. BRENDAN F. BOYLE of Pennsylvania,House,PA,M,74502,7,6,0
G000583,Mr. GOTTHEIMER,House,NJ,M,53060,19,19,0
F000459,Mr. FLEISCHMANN,House,TN,M,48928,26,15,0
C001117,Mr. CASTEN of Illinois,House,IL,M,42611,1,0,0
C001118,Mr. CLINE,House,VA,M,65517,14,7,0
C001093,Mr. COLLINS of Georgia,House,GA,M,390806,57,46,1
C001068,Mr. COHEN,House,TN,M,538782,122,95,0
